id,question,answer,citations,status,notes
1,What instruction governs medical materiel management in Air Force MTFs?,"on (AFDP) 4 -02, Health Services . Roles and Responsibilities. All personnel are responsible for safeguarding AF property and may be held 
financially liable if evidence of negligence is determined for the loss, damage or 
destruction of such property IAW DoDI 5000.64_DAFI 23 -111. Unless stated otherwise, duties outlined in this manual are the responsibility of the 
SRA Medical Logistics Flight Commander ( MLFC) and the respective military chain of 
command for that individual. The Air Force Surgeon General ( AF/SG) will:  
1.2.2.1. Establish policy and procedures for managing medical materiel for contingency 
support, fiscal compliance for operation of the AFWCF/MDD, and personnel competency 
for Active Duty ( AD) Medical Service Corps ( MSC) officers, medical materiel logisticians 


DAFI41 -230  24 JULY 2025  9 
and biomedical equipment technicians ( BMETs) in the Air Force Medical Service 
(AFMS).","DAFI41-230 — dafi41-230 — section.on (AFDP) 4 -02, Health Services . — C:\Users\darry\msc-super-friend\backend\data\toolkit_docs\dafi41-230.pdf",OK,Extracted from top-ranked chunks.
2,Who is responsible for oversight of the Medical Logistics Flight?,"r Force Medical Logistics ( AFML) website. Ensure accurate catalog records for SGME items to include correct source 
of supply and commodity class. Process funding requests for repair or acquisition of SGME items. (T-1) 


DAFI41 -230  24 JULY 2025  11 
1.3. DAF  Military Treatment Facility ( MTF) Commander Roles and Responsibilities. The MTF Commander (or equivalent), henceforth referred to as the unit commander, 
will: 
1.3.1.1.",DAFI41-230 — dafi41-230 — section.r Force Medical Logistics ( AFML) website. (T-1) — C:\Users\darry\msc-super-friend\backend\data\toolkit_docs\dafi41-230.pdf,OK,Extracted from top-ranked chunks.
3,What guidance governs controlled medical inventory accountability?,"The registrant will maintain separate files for Schedule I and II ( CIIC R), and Schedule 
III-V (CIIC Q) controlled drug records. The registrant will maintain the following physical products for a period of two years 
IAW Title 21 CFR, Chapter II, Part 1304.04, Maintenance of Records and Inventories : 
5.5.2.1. Hard copies of the DMLSS Business Report “LOG -Owned Assemblage 
Management” or “Operating Controlled Item Inventory Code Q & R Balance Report,” 
report type “Controlled Items,” used to perform an inventory. Delivery Lists used to account for all issue transactions of CIIC Q and R items. The vault custodian and using activity representative will print their name and rank and 
sign and date to validate all issue transactions. Documentation of DEA -mandated biennial inventories.",DAFI41-230 — dafi41-230 — section..5.  Item Management. — C:\Users\darry\msc-super-friend\backend\data\toolkit_docs\dafi41-230.pdf,OK,Extracted from top-ranked chunks.
4,What policy governs cold chain management for vaccines?,"<a class=""itemLink"" href=""/Reference-Center/Policies/2002/10/02/Policy-for-the-Use-of-Influenza-Vaccine---2002-2003-Influenza-Season"" >02-019</a>

                                            </td>

                                                                            <td>Policy for the Use of Influenza Vaccine - 2002-2003 Influenza Season</td>

                                    <td>Policy for the Use of Influenza Vaccine - 2002-2003 Influenza Season</td>

                                    <td>10/02/2002</td>

                                        <td>Health Affairs</td>

                                </tr>

                                <tr>



                                        <th scope=""row"">Guideline</th>

                                                                                <td>

                                                    <a class=""itemLink"" href=""/Reference-Center/Policies/2002/09/27/Handling-Procedures-for-Equipment-Contaminated-with-Depleted-Uranium-or-Radioactive-Commodities"" target=&quot;_blank&quot;>PAM 700-48</a>

                                            </td> receiving and processing USAMMA -DOC Anthrax and Smallpox 
Vaccine requests. (T-1) 
Section 4B —Service Contracts  
4.7. CORs will be appointed IAW DoDI 5000.72 and supporting contracting activity 
guidance. (T-2) 


DAFI41 -230  24 JULY 2025  29 
Chapter 5  
CONTROLLED MEDICAL ITEMS  
5.1. This chapter codifies policy for controlling and safeguarding CMM controlled 
medical items.","DHA Policies Directory — DHA Policies Directory — section.<a class=""itemLink"" href=""/Reference-Center/Policies/2002/10/02/Policy-for-the-Use-of-Influenza-Vaccine---2002-2003-Infl — https://www.health.mil/Reference-Center/Policies; DAFI41-230 — dafi41-230 — section.receiving and processing USAMMA -DOC Anthrax and Smallpox — C:\Users\darry\msc-super-friend\backend\data\toolkit_docs\dafi41-230.pdf",OK,Extracted from top-ranked chunks.
5,What AFMAN addresses property accountability for medical equipment?,"on (AFDP) 4 -02, Health Services . Roles and Responsibilities. All personnel are responsible for safeguarding AF property and may be held 
financially liable if evidence of negligence is determined for the loss, damage or 
destruction of such property IAW DoDI 5000.64_DAFI 23 -111. Unless stated otherwise, duties outlined in this manual are the responsibility of the 
SRA Medical Logistics Flight Commander ( MLFC) and the respective military chain of 
command for that individual. The Air Force Surgeon General ( AF/SG) will:  
1.2.2.1. Establish policy and procedures for managing medical materiel for contingency 
support, fiscal compliance for operation of the AFWCF/MDD, and personnel competency 
for Active Duty ( AD) Medical Service Corps ( MSC) officers, medical materiel logisticians 


DAFI41 -230  24 JULY 2025  9 
and biomedical equipment technicians ( BMETs) in the Air Force Medical Service 
(AFMS).","DAFI41-230 — dafi41-230 — section.on (AFDP) 4 -02, Health Services . — C:\Users\darry\msc-super-friend\backend\data\toolkit_docs\dafi41-230.pdf",OK,Extracted from top-ranked chunks.
6,How are high-dollar medical devices tracked and inventoried?,"The registrant will maintain separate files for Schedule I and II ( CIIC R), and Schedule 
III-V (CIIC Q) controlled drug records. The registrant will maintain the following physical products for a period of two years 
IAW Title 21 CFR, Chapter II, Part 1304.04, Maintenance of Records and Inventories : 
5.5.2.1. Hard copies of the DMLSS Business Report “LOG -Owned Assemblage 
Management” or “Operating Controlled Item Inventory Code Q & R Balance Report,” 
report type “Controlled Items,” used to perform an inventory. Delivery Lists used to account for all issue transactions of CIIC Q and R items. The vault custodian and using activity representative will print their name and rank and 
sign and date to validate all issue transactions. Documentation of DEA -mandated biennial inventories.",DAFI41-230 — dafi41-230 — section..5.  Item Management. — C:\Users\darry\msc-super-friend\backend\data\toolkit_docs\dafi41-230.pdf,OK,Extracted from top-ranked chunks.
7,What instruction governs hazardous material handling in MTFs?,"s disposal of Hazardous Material IAW installation directives, 
DoDM 4160.21, Volume 1, Defense Materiel Disposition: Disposal Guidance and 
Procedures , Air Force Joint Instruction (AFJI) 23 -504, Radioactive Commodities in the 
Department of Defense Supply System , Air Force Joint Manual (AFJMAN) 23 -209, Storage 
and Handling of Hazardous Materials , AFMAN 32 -7002, and AFMAN 40 -201, Radioactive 
Materials (RAM) Management . (T-0) 
Section 3D —Storage. WRM storage facilities will have proper environmental, space, and security controls 
and must have a Care of Supplies in Storage ( COSIS) program established to ensure materials 
in storage are maintained in a ready -for-issue condition or to prevent deterioration of 
unserviceable materials. WRM storage facilities without proper environmental, space, and 
security controls will be identified in writing to the installation WRM Officer and forwarded 
to the AFMLOC. (T-0) Guidance for establishing a facility COSIS program is provided in 
DoDM 4140.01, Volume 5, DoD Supply Chain Materiel Management Procedures: Delivery 
of Materiel . Accelerated deteriorative cost associated with inadequate s","DAFI41-230 — dafi41-230 — section.s disposal of Hazardous Material IAW installation directives, — C:\Users\darry\msc-super-friend\backend\data\toolkit_docs\dafi41-230.pdf",OK,Extracted from top-ranked chunks.
8,What DHA policy governs supply chain performance metrics?,"- 16th Semi-Annual Report and Policy on Future Data Submissions</td>

                                    <td>This policy changes the requirement for the reporting off data from the Services&#39; DU urine biomonitoring programs.</td>

                                    <td>01/23/2012</td>

                                        <td>DHA</td>

                                </tr>

                                <tr>



                                        <th scope=""row"">Instruction</th>

                                                                                <td>

                                                    <a class=""itemLink"" href=""/Reference-Center/Policies/2012/01/13/Military-Health-System-Facility-Portfolio-Management"" target=&quot;_blank&quot;>DODI 6015.17 </a>

                                            </td>

                                                                            <td>Military Health System Facility Portfolio Management</td>

                                    <td>This instruction reissues and renames DOD Instruction 6015.17 (Reference (b)) to establish policy, assign responsibilities, provide guidance, and prescribe procedures for <td>

                                                    <a class=""itemLink"" href=""/Reference-Center/Policies/2016/06/16/Force-Health-Protection-Quality-Assurance-FHPQA-Program"" target=&quot;_blank&quot;>DODI 6200.05</a>

                                            </td>

                                                                            <td>Force Health Protection Quality Assurance Program</td>

                                    <td>This issuance establishes policy, assigns responsibilities, and defines requirements for the development and establishment of the FHPQA Program in accordance with the authority in DODD 5124.02, Sections 731 and 738 of Public Law 108-375; Sections 1074f, 1092a, and 1073b of Title 10, United States Code; and DODDs 6200.04 and 5136.13.</td>

                                    <td>06/16/2016</td>

                                        <td>DoD</td>

                                </tr>

                                <tr>



                                        <th scope=""row"">Memorandum</th>

                                                                                <td> >01/13/2014</td>

                                        <td>Health Affairs</td>

                                </tr>

                                <tr>



                                        <th scope=""row"">Memorandum</th>

                                                                                <td>

                                                    <a class=""itemLink"" href=""/Reference-Center/Policies/2013/12/19/Department-of-Defense-Medical-Materiel-Standardization-and-Acquisition-Guidance"" >13-012</a>

                                            </td>

                                                                            <td>Department of Defense Medical Materiel Standardization and Acquisition Guidance</td>

                                    <td>The Defense Health Agency and the Military Services will incorporate materiel standardization and optimal sourcing as key elements of clinical resource utilization and health planning. To that end, the DHA will provide MHS-wide management and compliance oversight for business process initiatives, improving materiel standardization and product sourcing practices across the MHS that comply with the Competition —The medical material executive agent for the DoD responsible for 
the wholesale management, procurement and distribution of items of supply common to the 
military departments. Defense Medical Logistics Standard Support —A DoD APSR used to manage property and 
financial records for accountable assets and property.",DHA Policies Directory — DHA Policies Directory — section.- 16th Semi-Annual Report and Policy on Future Data Submissions</td> — https://www.health.mil/Reference-Center/Policies; DHA Policies Directory — DHA Policies Directory — section.<td> — https://www.health.mil/Reference-Center/Policies; DHA Policies Directory — DHA Policies Directory — section.>01/13/2014</td> — https://www.health.mil/Reference-Center/Policies,OK,Extracted from top-ranked chunks.
9,Who approves equipment replacement requests for MTFs?,"n any service 
maintenance contract to retain currency. Enforce mandatory use of DLA -TS Prime Vendor ( PV) contracts for 
pharmaceutical and consumable medical supplies equivalents. Act as the Inventory Adjustment Approval Authority ( IAAA) to approve 
Inventory Adjustment Vouchers ( IAVs). The MTF Commander (or equivalent) may 
delegate the role of the IAAA to the Deputy Commander or Administrator (or equivalent). Act as the approval authority for specific MEDLOG external unit support 
agreements. Note:  Consider third party MEDLOG labor costs as AD staffing and DAF end 
strength are not augmented for local Memoranda of Agreement ( MOAs).",DAFI41-230 — dafi41-230 — section.n any service — C:\Users\darry\msc-super-friend\backend\data\toolkit_docs\dafi41-230.pdf,OK,Extracted from top-ranked chunks.
10,What documentation is required for supply discrepancy reporting?,"430.07, Enclosure 3, paragraph  2.b. Reporting and Documenting Discrepancies in Shipment. For discrepancies involving PV shipments, the SRA will:  
3.8.1.1. Document discrepancies on the DLA -TS “Prime Vendor Discrepancy Report” 
within two business days of PV delivery. Forward a copy of the discrepancy report to DLA -TS by email at 
pvdiscrepancy@dla.mil . For discrepancies other than PV, submit a Standard Form ( SF) 364, Report of 
Discrepancy , to report and document the discrepancy IAW DLM 4000.25, Volume 2,  
Supply Standards and Procedures , Chapter  17, Supply Discrepancy Reporting .","DAFI41-230 — dafi41-230 — section.430.07, Enclosure 3, paragraph  2.b. (T-3) — C:\Users\darry\msc-super-friend\backend\data\toolkit_docs\dafi41-230.pdf",OK,Extracted from top-ranked chunks.
11,What guidance governs contingency medical logistics support?,"24 JULY 2025  
Chapter 8  
DAF CMM MANAGEMENT  
8.1. To provide policy in managing contingency medical materiel. Section 8A —General Management  
8.2. Section 8A  provides guidance that applies to all facets of CMM management. The SRA  will utilize DMLSS AM (Assemblage Management) module to maintain 
quality assurance data, document inventory results, process all financial transactions, and 
replenish all contingency medical materiel assemblages regardless of the source of funding. Selecting Contingency Materiel.",DAFI41-230 — dafi41-230 — section.24 JULY 2025 — C:\Users\darry\msc-super-friend\backend\data\toolkit_docs\dafi41-230.pdf,OK,Extracted from top-ranked chunks.
12,What AFI addresses deployment medical equipment packages?,"on (AFDP) 4 -02, Health Services . Roles and Responsibilities. All personnel are responsible for safeguarding AF property and may be held 
financially liable if evidence of negligence is determined for the loss, damage or 
destruction of such property IAW DoDI 5000.64_DAFI 23 -111. Unless stated otherwise, duties outlined in this manual are the responsibility of the 
SRA Medical Logistics Flight Commander ( MLFC) and the respective military chain of 
command for that individual. The Air Force Surgeon General ( AF/SG) will:  
1.2.2.1. Establish policy and procedures for managing medical materiel for contingency 
support, fiscal compliance for operation of the AFWCF/MDD, and personnel competency 
for Active Duty ( AD) Medical Service Corps ( MSC) officers, medical materiel logisticians 


DAFI41 -230  24 JULY 2025  9 
and biomedical equipment technicians ( BMETs) in the Air Force Medical Service 
(AFMS).","DAFI41-230 — dafi41-230 — section.on (AFDP) 4 -02, Health Services . — C:\Users\darry\msc-super-friend\backend\data\toolkit_docs\dafi41-230.pdf",OK,Extracted from top-ranked chunks.
13,How is shelf-life extension managed for medical supplies?,"stribution with greater 
than 120 days shelf life will be maintained in SG95, physically segregated within the vault 
until they are within 120 days of expiration and then processed with commercial cred it 
returns. The SRA  will process separate call numbers for controlled medical items and non -
controlled items. The returns contractor will provide a fully annotated DEA Form 222 for all Schedule 
II items. The SRA will maintain documents associated with controlled item commercial credit 
returns, including documentation of customer turn -ins, initial and adjusted inventory reports 
from the vendor, DEA Form 222 (if applicable), and Commercial Return Reports and 
Destruction Reports for two years IAW Title 21 CFR, Chapter II, Part 1304.04, Maintenance 
of Records and Inventories . (T-0) If state and local requirements require longer retention times, 
SRAs will maintain documents IAW those more stringent regulations. 34 DAFI41 -230  24 JULY 2025  
Chapter 6  
MEDICAL EQUIPMENT MANAGEMENT  
6.1.",DAFI41-230 — dafi41-230 — section.stribution with greater — C:\Users\darry\msc-super-friend\backend\data\toolkit_docs\dafi41-230.pdf,OK,Extracted from top-ranked chunks.
14,What policy governs government purchase card use in Medical Logistics?,"comply 
with Do DI 4000.19, Support Agreements. Obligation —An amount the government is legally bound to pay as a result of a requisition to 
DLA, GSA, or commercial vendor. Inventory —A physical count that is conducted to formally validate accountable record balances 
against physical balances. Perform and correct discrepancies found between actual quantities and 
maintained accounting record balances. Operational Medical Logistics —The MEDLOG to support operational medical capabilities for 
Role 1, Role 2, Role 3 and Role 4 units. An integral component of the MHS that provides 
capabilities to organize and conduct life -cycle management of the specialized medical products 
and services requi red to operate an integrated health system anywhere in the world.",DAFI41-230 — dafi41-230 — section.comply — C:\Users\darry\msc-super-friend\backend\data\toolkit_docs\dafi41-230.pdf,OK,Extracted from top-ranked chunks.
